,0
2011-01-01,-38.5065475
2011-01-02,-41.26972166666667
2011-01-03,-32.80183916666667
2011-01-04,-37.30319166666667
2011-01-05,-36.210035
2011-01-06,-36.44727
2011-01-07,-35.102495
2011-01-08,-49.07272583333333
2011-01-09,-44.27467333333333
2011-01-10,-37.53422666666666
2011-01-11,-45.4670125
2011-01-12,-51.564245
2011-01-13,-50.37193083333333
2011-01-14,-35.93455083333333
2011-01-15,-34.61920833333333
2011-01-16,-41.8276875
2011-01-17,-32.315045
2011-01-18,-32.8925125
2011-01-19,-40.62619083333333
2011-01-20,-46.715534166666664
2011-01-21,-54.329703333333335
2011-01-22,-41.499401666666664
2011-01-23,-40.69255166666667
2011-01-24,-36.11915333333334
2011-01-25,-39.7780375
2011-01-26,-38.93299833333334
2011-01-27,-36.966945
2011-01-28,-32.10232
2011-01-29,-29.961439166666665
2011-01-30,-34.6394225
2011-01-31,-36.80365666666667
2011-02-01,-42.413599166666664
2011-02-02,-48.51519666666667
2011-02-03,-53.32592333333333
2011-02-04,-45.55392749999999
2011-02-05,-36.34120083333333
2011-02-06,-32.6187775
2011-02-07,-37.42838
2011-02-08,-50.02809250000001
2011-02-09,-52.010960833333336
2011-02-10,-46.97149083333334
2011-02-11,-36.142245833333334
2011-02-12,-25.149864166666664
2011-02-13,-16.032461666666666
2011-02-14,-24.46359
2011-02-15,-23.97426916666667
2011-02-16,-12.4067175
2011-02-17,-5.266734999999998
2011-02-18,-16.244586666666667
2011-02-19,-21.96332083333333
2011-02-20,-8.691314999999998
2011-02-21,-20.665850833333334
2011-02-22,-36.45596833333334
2011-02-23,-30.075590000000002
2011-02-24,-29.680179166666665
2011-02-25,-32.540481666666665
2011-02-26,-28.69242416666667
2011-02-27,-15.532337499999999
2011-02-28,-29.80498
2011-03-01,-28.668720833333335
2011-03-02,-26.385013333333333
2011-03-03,-19.564344166666668
2011-03-04,-10.1777825
2011-03-05,-28.571992499999997
2011-03-06,-30.770825000000002
2011-03-07,-26.877889999999997
2011-03-08,-21.840618333333335
2011-03-09,-21.941949166666664
2011-03-10,-32.03956083333333
2011-03-11,-24.450670833333334
2011-03-12,-13.134695
2011-03-13,-28.5096575
2011-03-14,-30.486678333333334
2011-03-15,-27.34295416666667
2011-03-16,-18.270755833333332
2011-03-17,-5.539867499999999
2011-03-18,-13.697616666666667
2011-03-19,-17.191144166666664
2011-03-20,-6.404868333333333
2011-03-21,-0.47194666666666557
2011-03-22,-2.3589774999999986
2011-03-23,-7.194380833333333
2011-03-24,-29.538238333333336
2011-03-25,-31.651095833333333
2011-03-26,-32.826545833333334
2011-03-27,-32.08141333333334
2011-03-28,-27.251389166666666
2011-03-29,-25.313902499999998
2011-03-30,-24.838279999999997
2011-03-31,-22.939230833333337
2011-04-01,-20.036376666666666
2011-04-02,-13.426096666666666
2011-04-03,-2.2527074999999983
2011-04-04,-16.312545
2011-04-05,-15.946295
2011-04-06,-6.147196666666667
2011-04-07,-7.925529166666666
2011-04-08,-1.5724708333333315
2011-04-09,0.6999908333333323
2011-04-10,3.426526666666669
2011-04-11,-5.008299166666665
2011-04-12,-9.807768333333334
2011-04-13,-8.317918333333333
2011-04-14,-5.818650833333332
2011-04-15,-8.839771666666666
2011-04-16,-21.489285
2011-04-17,-8.288717499999999
2011-04-18,-3.3882641666666657
2011-04-19,-5.505024166666665
2011-04-20,-19.916985833333335
2011-04-21,-15.774255833333333
2011-04-22,-4.614824999999998
2011-04-23,-8.670387499999999
2011-04-24,-10.444651666666667
2011-04-25,-5.676143333333332
2011-04-26,-4.499037499999998
2011-04-27,-15.0075925
2011-04-28,-9.93037
2011-04-29,-8.851390833333333
2011-04-30,-3.4874508333333334
2011-05-01,-11.990069166666666
2011-05-02,-18.342174166666666
2011-05-03,-16.432774166666665
2011-05-04,-17.57323416666667
2011-05-05,-11.7404175
2011-05-06,-8.351696666666667
2011-05-07,-2.7527424999999988
2011-05-08,0.05164750000000199
2011-05-09,1.859745000000002
2011-05-10,1.3190433333333342
2011-05-11,3.597257500000001
2011-05-12,2.4379708333333348
2011-05-13,-3.2899483333333315
2011-05-14,-13.114590833333333
2011-05-15,-16.909992499999998
2011-05-16,-13.610725833333333
2011-05-17,-14.578095
2011-05-18,-5.806654999999999
2011-05-19,-5.555807499999998
2011-05-20,-0.3255549999999993
2011-05-21,1.57635166666667
2011-05-22,0.7854325000000019
2011-05-23,-0.9353291666666651
2011-05-24,1.2388216666666685
2011-05-25,-1.8069916666666648
2011-05-26,-10.969558333333332
2011-05-28,-3.013988333333332
2011-05-29,4.387644166666669
2011-05-30,5.504259166666668
2011-05-31,4.257075833333336
2011-06-01,3.6177566666666667
2011-06-03,8.254115
2011-06-04,9.305725833333332
2011-06-05,4.607682500000003
2011-06-06,8.263710000000001
2011-06-07,8.337146666666667
2011-06-08,8.716435000000002
2011-06-09,7.379695833333336
2011-06-10,6.78127416666667
2011-06-11,0.8660933333333354
2011-06-12,-0.8942358333333301
2011-06-13,-1.4243524999999997
2011-06-14,-0.49265333333333317
2011-06-15,3.9063183333333344
2011-06-16,2.931220833333334
2011-06-17,0.2602591666666676
2011-06-18,1.8145975000000032
2011-06-19,3.445066666666668
2011-06-20,6.273794166666669
2011-06-21,2.345618333333336
2011-06-22,1.6517650000000004
2011-06-23,0.13441583333333304
2011-06-24,1.0213358333333369
2011-06-25,0.5707183333333337
2011-06-27,1.2418733333333336
2011-06-28,1.5275016666666665
2011-06-29,1.0577099999999986
2011-06-30,5.767484166666667
2011-07-01,6.768325833333333
2011-07-02,9.4710325
2011-07-03,3.1380733333333333
2011-07-04,2.631724166666668
2011-07-05,4.220951666666668
2011-07-06,5.676220833333336
2011-07-07,3.831125
2011-07-08,3.3532683333333364
2011-07-09,4.878904166666669
2011-07-10,9.098445833333336
2011-07-11,13.0395125
2011-07-12,8.385298333333337
2011-07-13,4.213297500000001
2011-07-14,4.764364166666668
2011-07-15,5.128891666666669
2011-07-16,6.530657500000001
2011-07-17,8.187901666666665
2011-07-18,8.592856666666668
2011-07-19,11.772265833333336
2011-07-20,11.6107425
2011-07-21,14.19423
2011-07-22,12.790473333333333
2011-07-23,11.872443333333335
2011-07-24,5.71096416666667
2011-07-25,8.400680000000003
2011-07-26,9.925685833333333
2011-07-27,9.866549166666667
2011-07-28,11.748521666666667
2011-07-29,9.949616666666666
2011-07-30,4.4241850000000005
2011-07-31,7.64724416666667
2011-08-01,9.497153333333335
2011-08-02,12.45160916666667
2011-08-03,12.727634166666668
2011-08-04,6.980325000000001
2011-08-05,1.5827166666666663
2011-08-06,6.794391666666666
2011-08-07,10.123173333333336
