,0
2011-01-01,-5.267644999999999
2011-01-02,-21.238739166666665
2011-01-03,-23.574527500000002
2011-01-04,-14.6154575
2011-01-05,-7.845340833333334
2011-01-06,-17.8809875
2011-01-07,-15.692260833333334
2011-01-08,-18.725776666666665
2011-01-09,-25.4084
2011-01-10,-25.74875916666667
2011-01-11,-27.460325833333332
2011-01-12,-33.17749916666667
2011-01-13,-36.973836666666664
2011-01-14,-32.68680666666667
2011-01-15,-23.865709166666665
2011-01-16,-17.125375833333333
2011-01-17,-15.862511666666665
2011-01-18,-9.914865833333334
2011-01-19,-15.951996666666666
2011-01-20,-15.270231666666666
2011-01-21,-25.807615833333333
2011-01-22,-30.1576625
2011-01-23,-25.118539166666665
2011-01-24,-14.2501775
2011-01-25,-10.502455
2011-01-26,-21.329040000000003
2011-01-27,-23.841731666666664
2011-01-28,-17.158816666666667
2011-01-29,-14.726683333333332
2011-01-30,-11.1279775
2011-01-31,-6.477246666666666
2011-02-01,-5.612414166666665
2011-02-02,-30.012464166666664
2011-02-03,-29.898862499999996
2011-02-04,-26.268491666666666
2011-02-05,-28.281638333333333
2011-02-06,-25.000626666666665
2011-02-07,-17.67109
2011-02-08,-27.209435833333334
2011-02-09,-21.10925333333333
2011-02-10,-29.888435
2011-02-11,-29.119475833333336
2011-02-12,-27.325860000000002
2011-02-13,-21.546029166666667
2011-02-14,-17.585808333333333
2011-02-15,-13.621985
2011-02-16,-13.3745575
2011-02-17,-10.1198775
2011-02-18,-4.41252
2011-02-19,-4.037026666666667
2011-02-20,-5.7126166666666665
2011-02-21,0.053865833333334244
2011-02-22,-1.2848958333333336
2011-02-23,-3.4182666666666677
2011-02-24,-0.3270099999999993
2011-02-25,-3.2655033333333314
2011-02-26,-5.638789166666666
2011-02-27,1.0061308333333354
2011-02-28,0.9168408333333359
2011-03-01,-8.902970833333333
2011-03-02,-11.45752
2011-03-03,-6.668360833333331
2011-03-04,-2.4455741666666686
2011-03-05,-4.694441666666666
2011-03-06,-16.474791666666665
2011-03-07,-20.261175833333333
2011-03-08,-2.169121666666665
2011-03-09,-4.292168333333333
2011-03-10,-13.233561666666667
2011-03-11,-16.092111666666664
2011-03-12,-11.881163333333333
2011-03-13,-7.686619166666667
2011-03-14,-3.2900966666666656
2011-03-15,-4.933135833333332
2011-03-16,-10.008844166666668
2011-03-17,-7.955565
2011-03-18,-4.768505833333331
2011-03-19,-3.54001
2011-03-20,-6.912393333333333
2011-03-21,-4.897139999999998
2011-03-22,-0.23538083333333168
2011-03-23,0.3196875000000012
2011-03-24,-3.0705591666666643
2011-03-26,0.4508625000000019
2011-03-27,-0.06798999999999822
2011-03-28,-2.3015049999999992
2011-03-29,-2.627832499999997
2011-03-30,-1.965281666666666
2011-03-31,-11.235386666666669
2011-04-01,-6.823066666666663
2011-04-02,-3.3754900000000014
2011-04-03,-3.775654999999997
2011-04-07,-1.7551541666666648
2011-04-08,2.0017316666666676
2011-04-09,1.006164166666667
2011-04-10,0.8436050000000002
2011-04-11,1.2679100000000005
2011-04-12,-4.875187499999998
2011-04-13,-8.983120833333333
2011-04-14,-4.268191666666663
2011-04-15,0.6563475000000013
2011-04-16,-5.929104999999997
2011-04-17,-10.403271666666667
2011-04-18,-5.859247499999999
2011-04-19,0.22685166666666903
2011-04-20,1.128834166666665
2011-04-21,-2.8760808333333308
2011-04-22,-2.057529999999999
2011-04-23,0.5673875000000012
2011-04-24,-1.414310000000001
2011-04-25,-0.11533000000000015
2011-04-26,1.2499250000000004
2011-04-27,3.0893999999999995
2011-04-28,-3.6606391666666673
2011-04-29,-8.2082775
2011-04-30,-4.705703333333333
2011-05-01,0.9736083333333324
2011-05-02,2.000111666666667
2011-05-03,-3.1615891666666656
2011-05-04,-7.8825575
2011-05-05,-9.01771
2011-05-06,-6.372755833333332
2011-05-07,-4.518919999999999
2011-05-08,-0.2182666666666666
2011-05-09,0.006359166666667804
2011-05-10,-1.192626666666665
2011-05-11,-2.028591666666665
2011-05-12,-0.5494833333333317
2011-05-13,0.34477750000000223
