tau,alpha,sq_errors,sq_errors_old,is_best_tau
-5.0,110.35848012113148,6217.765269288925,3537908.438225398,False
-4.9,108.73133695947557,6053.674750872269,3444540.933246321,False
-4.8,107.13280760853013,5894.888084182135,3354191.3198996335,False
-4.7,105.56485429624219,5740.089933724117,3266111.1722890222,False
-4.6,104.0258729859465,5590.826844780188,3181180.474679927,False
-4.5,102.51718183437484,5446.476807331799,3099045.303371793,False
-4.4,101.03628564852403,5307.63878765789,3020046.4701773394,False
-4.3,99.57799237988657,5171.4837285306285,2942574.241533928,False
-4.2,98.14594896636761,5039.308970965579,2867366.804479414,False
-4.1,96.74145371777705,4912.015126236557,2794936.6068286006,False
-4.0,95.36292061498712,4787.469045224994,2724069.886733022,False
-3.9,94.01016998797829,4665.668132741557,2654765.1675299467,False
-3.8,92.67997437872147,4547.236676098636,2587377.668700124,False
-3.7,91.37342700712787,4432.891262921198,2522315.1286021625,False
-3.6,90.09248151898763,4322.937044118745,2459751.1781035666,False
-3.5,88.8342250679076,4216.487021498235,2399181.1152324956,False
-3.4,87.59822550026095,4113.122972198315,2340366.971180841,False
-3.3,86.38269320281083,4012.7812522172785,2283272.5325116315,False
-3.2,85.19062068266518,3916.000480106485,2228204.2731805905,False
-3.1,84.02122508712405,3823.7770888419996,2175729.1635510973,False
-3.0,82.87423063053576,3734.9199170592374,2125169.432806705,False
-2.9,81.7461730176234,3649.6767249783734,2076666.0565126936,False
-2.8,80.63315250727291,3567.0223421192923,2029635.712665878,False
-2.7,79.54160667261112,3487.1216675905653,1984172.228859031,False
-2.6,78.46979877951856,3411.438964574224,1941108.7708427333,False
-2.5,77.41643265511907,3338.3898772753023,1899543.840169647,False
-2.4,76.38268311865453,3267.0820385012917,1858969.6799072346,False
-2.3,75.36399443689776,3196.8315780542466,1818997.1679128665,False
-2.2,74.36326483565128,3129.285653515569,1780563.5368503588,False
-2.1,73.38052323115544,3065.4189726691015,1744223.3954487185,False
-2.0,72.41426967499207,3003.9966694812892,1709274.1049348537,False
-1.9,71.46233166662218,2944.7244977416512,1675548.239215,False
-1.8,70.52378844575824,2887.2806906449377,1642862.712976969,False
-1.7,69.60068803991994,2832.9422744987623,1611944.1541897953,False
-1.6,68.69429047194433,2781.6740137445745,1582772.5138206629,False
-1.5,67.80350422073906,2733.0239198065087,1555090.6103699037,False
-1.4,66.92727991841417,2687.040942726134,1528926.2964111704,False
-1.3,66.06214302188735,2643.3499066488152,1504066.096883176,False
-1.2,65.21183800505747,2602.336678884044,1480729.5702850213,False
-1.1,64.3769450561356,2564.4074384698356,1459147.8324893366,False
-1.0,63.55512782432272,2528.304045675906,1438605.0019895902,False
-0.9,62.745846081469956,2493.5220031926556,1418814.0198166207,False
-0.8,61.947449630208475,2460.180479725922,1399842.6929640495,False
-0.7,61.16102475983183,2429.2393258047746,1382237.1763829165,False
-0.6,60.38904103327008,2401.19625283188,1366280.66786134,False
-0.5,59.62998525306444,2375.643662502284,1351741.2439637994,False
-0.4,58.88119357853955,2352.661224802659,1338664.2369127125,False
-0.3,58.142026671882974,2331.9619578769853,1326886.3540320047,False
-0.2,57.41492123949254,2313.968126896599,1316647.8642041646,False
-0.1,56.70090399682288,2298.9748830876815,1308116.7084768908,False
0.0,55.99794151775589,2286.2583934968984,1300881.025899735,False
0.1,55.3049902151621,2275.922643641992,1294999.9842322934,False
0.2,54.62047925353347,2267.782564023708,1290368.2789294897,False
0.3,53.94642807134759,2262.88961026319,1287584.188239755,False
0.4,53.28318937996592,2260.998315298246,1286508.0414047018,True
0.5,52.62989219005281,2261.8778205546764,1287008.4798956104,False
0.6,51.98548939722975,2265.446288311231,1289038.93804909,False
0.7,51.34665196426814,2271.578829551953,1292528.354015061,False
0.8,50.717886723790876,2280.370557676129,1297530.8473177175,False
0.9,50.09986367646124,2291.94178310233,1304114.8745852262,False
1.0,49.49092314094398,2306.2306935518927,1312245.2646310271,False
1.1,48.88972068560506,2323.5311668877953,1322089.233959156,False
1.2,48.29455697935371,2343.9847001517733,1333727.2943863592,False
1.3,47.70833487605905,2367.039252622112,1346845.3347419817,False
